system:time_start,nd
"Jul 28, 2015",40
"Jul 28, 2015",40
"Jul 28, 2015",44
"Jul 28, 2015",44
"Jul 28, 2015",40
"Jul 28, 2015",40
"Aug 7, 2015",44
"Aug 7, 2015",44
"Aug 7, 2015",44
"Aug 7, 2015",44
"Aug 7, 2015",44
"Aug 7, 2015",44
"Sep 16, 2015",40
"Sep 16, 2015",40
"Sep 16, 2015",40
"Sep 16, 2015",40
"Sep 16, 2015",40
"Sep 16, 2015",40
"Oct 6, 2015",0
"Oct 6, 2015",0
"Nov 15, 2015",92.867
"Nov 15, 2015",92.867
"Dec 15, 2015",60
"Dec 15, 2015",60
"Dec 15, 2015",60
"Dec 15, 2015",60
"Dec 25, 2015",76
"Dec 25, 2015",76
"Dec 25, 2015",76
"Dec 25, 2015",76
"Jan 14, 2016",76
"Jan 14, 2016",76
"Jan 14, 2016",76
"Jan 14, 2016",76
"Feb 3, 2016",72
"Feb 3, 2016",72
"Feb 3, 2016",72
"Feb 3, 2016",72
"Mar 4, 2016",60
"Mar 4, 2016",60
"Apr 3, 2016",56
"Apr 3, 2016",56
"Apr 3, 2016",56
"Apr 3, 2016",56
"Apr 13, 2016",56
"Apr 13, 2016",56
"Apr 13, 2016",56
"Apr 13, 2016",56
"Apr 23, 2016",60
"Apr 23, 2016",60
"Apr 23, 2016",60
"Apr 23, 2016",60
"May 3, 2016",52
"May 3, 2016",52
"May 3, 2016",52
"May 3, 2016",52
"May 13, 2016",44
"May 13, 2016",44
"May 23, 2016",32
"May 23, 2016",36
"May 23, 2016",32
"May 23, 2016",36
"Jun 2, 2016",40
"Jun 2, 2016",40
"Jun 2, 2016",40
"Jun 2, 2016",40
"Jun 12, 2016",36
"Jun 12, 2016",36
"Jun 12, 2016",36
"Jun 12, 2016",36
"Jun 22, 2016",24
"Jun 22, 2016",24
"Jun 22, 2016",24
"Jun 22, 2016",24
"Jul 2, 2016",28
"Jul 2, 2016",28
"Jul 2, 2016",28
"Jul 2, 2016",28
"Jul 12, 2016",24
"Jul 12, 2016",24
"Jul 12, 2016",24
"Jul 22, 2016",20
"Jul 22, 2016",20
"Aug 1, 2016",20
"Aug 11, 2016",48
"Aug 11, 2016",48
"Aug 21, 2016",40
"Aug 21, 2016",40
"Aug 21, 2016",40
"Aug 21, 2016",40
"Aug 31, 2016",40
"Aug 31, 2016",40
"Aug 31, 2016",40
"Aug 31, 2016",40
"Sep 10, 2016",52
"Sep 10, 2016",52
"Sep 10, 2016",52
"Sep 10, 2016",52
"Sep 30, 2016",64
"Sep 30, 2016",64
"Sep 30, 2016",64
"Sep 30, 2016",64
"Oct 10, 2016",60
"Oct 10, 2016",60
"Oct 10, 2016",60
"Oct 10, 2016",60
"Oct 20, 2016",68
"Oct 20, 2016",68
"Oct 20, 2016",68
"Oct 20, 2016",68
"Nov 9, 2016",60
"Nov 9, 2016",0
"Nov 9, 2016",60
"Nov 9, 2016",60
"Nov 19, 2016",60
"Nov 19, 2016",60
"Nov 29, 2016",68
"Nov 29, 2016",68
"Nov 29, 2016",68
"Nov 29, 2016",68
"Dec 19, 2016",76
"Dec 19, 2016",76
"Dec 29, 2016",0
"Jan 18, 2017",84
"Jan 18, 2017",84
"Jan 28, 2017",76
"Jan 28, 2017",76
"Mar 9, 2017",80
"Mar 9, 2017",80
"Apr 18, 2017",56
"Apr 18, 2017",56
"May 18, 2017",48
"May 18, 2017",48
"May 28, 2017",48
"May 28, 2017",48
"Jun 7, 2017",40
"Jun 7, 2017",40
"Jun 17, 2017",40
"Jun 17, 2017",40
"Jun 27, 2017",40
"Jun 27, 2017",40
"Jul 2, 2017",28
"Jul 2, 2017",28
"Jul 12, 2017",48
"Jul 12, 2017",48
"Jul 22, 2017",44
"Jul 22, 2017",44
"Jul 27, 2017",0
"Jul 27, 2017",0
"Aug 6, 2017",60
"Aug 6, 2017",60
"Aug 11, 2017",64
"Aug 11, 2017",64
"Aug 16, 2017",48
"Aug 16, 2017",48
"Aug 21, 2017",76
"Aug 21, 2017",76
"Aug 26, 2017",56
"Aug 26, 2017",56
"Aug 31, 2017",52
"Aug 31, 2017",52
"Sep 5, 2017",56
"Sep 5, 2017",56
"Sep 10, 2017",56
"Sep 10, 2017",56
"Sep 15, 2017",52
"Sep 15, 2017",52
"Sep 20, 2017",44
"Sep 20, 2017",44
"Sep 25, 2017",48
"Sep 25, 2017",48
"Sep 30, 2017",52
"Sep 30, 2017",52
"Oct 5, 2017",56
"Oct 5, 2017",56
"Oct 10, 2017",44
"Oct 10, 2017",44
"Oct 15, 2017",44
"Oct 15, 2017",44
"Oct 25, 2017",44
"Oct 25, 2017",44
"Oct 30, 2017",44
"Oct 30, 2017",44
"Nov 4, 2017",39.529
"Nov 9, 2017",56
"Nov 9, 2017",56
"Nov 14, 2017",52
"Nov 14, 2017",52
"Nov 19, 2017",44
"Nov 19, 2017",44
"Nov 24, 2017",48
"Nov 24, 2017",48
"Dec 4, 2017",48
"Dec 14, 2017",52
"Dec 14, 2017",52
"Dec 19, 2017",60
"Dec 19, 2017",60
"Dec 24, 2017",64
"Dec 24, 2017",60
"Dec 29, 2017",60
"Dec 29, 2017",60
"Jan 13, 2018",64
"Jan 13, 2018",64
"Jan 18, 2018",72
"Jan 18, 2018",72
"Jan 23, 2018",68
"Jan 23, 2018",68
"Jan 28, 2018",72
"Jan 28, 2018",72
"Feb 7, 2018",72
"Feb 7, 2018",72
"Feb 22, 2018",72
"Feb 22, 2018",72
"Feb 27, 2018",68
"Feb 27, 2018",68
"Mar 4, 2018",76
"Mar 4, 2018",76
"Mar 14, 2018",68
"Mar 14, 2018",68
"Mar 29, 2018",64
"Mar 29, 2018",60
"Apr 3, 2018",64
"Apr 3, 2018",64
"Apr 8, 2018",64
"Apr 8, 2018",64
"Apr 18, 2018",48
"Apr 18, 2018",48
"Apr 23, 2018",56
"Apr 23, 2018",56
"Apr 28, 2018",52
"Apr 28, 2018",52
"May 3, 2018",52
"May 3, 2018",52
"May 8, 2018",44
"May 13, 2018",40
"May 13, 2018",40
"May 18, 2018",44
"May 18, 2018",44
"May 23, 2018",36
"May 23, 2018",36
"May 28, 2018",32
"May 28, 2018",32
"Jun 2, 2018",36
"Jun 2, 2018",36
"Jun 7, 2018",20
"Jun 7, 2018",20
"Jun 17, 2018",12
"Jun 17, 2018",12
"Jun 22, 2018",16
"Jun 22, 2018",16
"Jun 27, 2018",16
"Jun 27, 2018",16
"Jul 2, 2018",4
"Jul 2, 2018",4
"Jul 7, 2018",4
"Jul 7, 2018",4
"Jul 12, 2018",44
"Jul 12, 2018",44
"Jul 17, 2018",52
"Jul 17, 2018",52
"Jul 22, 2018",56
"Jul 22, 2018",56
"Aug 1, 2018",56
"Aug 1, 2018",56
"Aug 6, 2018",56
"Aug 6, 2018",56
"Aug 11, 2018",60
"Aug 11, 2018",60
"Aug 16, 2018",455.757
"Aug 26, 2018",60
"Aug 26, 2018",60
"Aug 31, 2018",56
"Aug 31, 2018",56
"Sep 5, 2018",56
"Sep 5, 2018",56
"Sep 10, 2018",52
"Sep 10, 2018",52
"Sep 15, 2018",56
"Sep 15, 2018",56
"Sep 20, 2018",56
"Sep 20, 2018",56
"Sep 25, 2018",52
"Sep 25, 2018",48
"Oct 5, 2018",72
"Oct 5, 2018",72
"Oct 10, 2018","2,609.031"
"Oct 10, 2018","2,609.031"
"Oct 15, 2018",80
"Oct 15, 2018",80
"Oct 20, 2018",64
"Oct 20, 2018",64
"Oct 25, 2018",72
"Oct 25, 2018",72
"Oct 30, 2018",72
"Nov 9, 2018",76
"Nov 9, 2018",76
"Nov 19, 2018",60
"Nov 24, 2018",64
"Nov 24, 2018",72
"Nov 24, 2018",72
"Nov 24, 2018",72
"Dec 9, 2018",76
"Dec 9, 2018",76
"Dec 19, 2018",0
"Dec 19, 2018",0
"Dec 24, 2018",76
"Dec 24, 2018",76
"Dec 29, 2018",76
"Dec 29, 2018",76
"Jan 3, 2019",72
"Jan 3, 2019",0
"Jan 8, 2019",92
"Jan 8, 2019",92
"Jan 23, 2019",88
"Jan 23, 2019",88
"Feb 2, 2019",80
"Feb 7, 2019",72
"Feb 7, 2019",72
"Feb 17, 2019",76
"Feb 17, 2019",76
"Mar 4, 2019",68
"Mar 4, 2019",68
"Mar 14, 2019",72
"Mar 14, 2019",72
"Mar 19, 2019",76
"Mar 19, 2019",76
"Mar 24, 2019",72
"Mar 24, 2019",72
"Mar 29, 2019",72
"Mar 29, 2019",72
"Apr 3, 2019",64
"Apr 3, 2019",64
"Apr 8, 2019",72
"Apr 8, 2019",72
"Apr 13, 2019",68
"Apr 13, 2019",68
"Apr 18, 2019",60
"Apr 18, 2019",60
"Apr 23, 2019",60
"Apr 28, 2019",56
"Apr 28, 2019",56
"May 3, 2019",52
"May 3, 2019",52
"May 8, 2019",56
"May 8, 2019",56
"May 13, 2019",56
"May 13, 2019",56
"May 18, 2019",52
"May 18, 2019",52
"May 23, 2019",44
"May 23, 2019",44
"Jun 2, 2019",40
"Jun 2, 2019",40
"Jun 7, 2019",44
"Jun 7, 2019",44
"Jun 12, 2019",40
"Jun 17, 2019",36
"Jun 17, 2019",36
"Jun 22, 2019",28
"Jun 22, 2019",28
"Jun 27, 2019",24
"Jun 27, 2019",24
"Jul 2, 2019",28
"Jul 2, 2019",28
"Jul 7, 2019",12
"Jul 12, 2019",8
"Jul 12, 2019",8
"Jul 27, 2019",0
"Jul 27, 2019",0
"Aug 1, 2019",0
"Aug 1, 2019",0
"Aug 11, 2019",52
"Aug 11, 2019",52
"Aug 16, 2019",52
"Aug 16, 2019",52
"Aug 21, 2019",48
"Aug 21, 2019",48
"Aug 26, 2019",52
"Aug 26, 2019",52
"Aug 31, 2019",32
"Aug 31, 2019",32
"Sep 5, 2019",44
"Sep 5, 2019",44
"Sep 10, 2019",0
"Sep 10, 2019",0
"Sep 15, 2019",56
"Sep 15, 2019",56
"Sep 20, 2019",56
"Sep 20, 2019",56
"Sep 30, 2019",60
"Sep 30, 2019",60
"Oct 5, 2019",64
"Oct 5, 2019",64
"Oct 10, 2019",60
"Oct 10, 2019",60
"Oct 15, 2019",60
"Oct 15, 2019",60
"Oct 20, 2019",72
"Oct 20, 2019",72
"Oct 25, 2019",72
"Oct 25, 2019",72
"Nov 4, 2019",80
"Nov 4, 2019",80
"Nov 9, 2019",76
"Nov 14, 2019",72
"Nov 14, 2019",72
"Nov 24, 2019",76
"Nov 24, 2019",76
"Nov 29, 2019",68
"Nov 29, 2019",68
"Dec 4, 2019",88
"Dec 4, 2019",88
"Dec 9, 2019",68
"Dec 9, 2019",68
"Dec 14, 2019",72
"Dec 14, 2019",72
"Dec 19, 2019",76
"Dec 19, 2019",76
"Dec 29, 2019",80
"Dec 29, 2019",80
"Jan 3, 2020",80
"Jan 3, 2020",80
"Jan 8, 2020",88
"Jan 8, 2020",88
"Jan 13, 2020",80
"Jan 13, 2020",80
"Jan 18, 2020",84
"Jan 18, 2020",84
"Jan 23, 2020",96
"Jan 23, 2020",96
"Jan 28, 2020",84
"Jan 28, 2020",84
"Feb 2, 2020",84
"Feb 2, 2020",84
"Feb 7, 2020",84
"Feb 7, 2020",84
"Feb 12, 2020",88
"Feb 12, 2020",88
"Feb 17, 2020",80
"Feb 17, 2020",80
"Mar 3, 2020","2,059.039"
"Mar 3, 2020","2,059.039"
"Mar 8, 2020",49.353
"Mar 8, 2020",49.353
"Mar 23, 2020",56
"Mar 23, 2020",56
"Mar 28, 2020",64
"Mar 28, 2020",64
"Apr 2, 2020",60
"Apr 2, 2020",60
"Apr 7, 2020",60
"Apr 7, 2020",60
"Apr 12, 2020",60
"Apr 12, 2020",60
"Apr 22, 2020",56
"Apr 22, 2020",56
"Apr 27, 2020",60
"Apr 27, 2020",60
"May 2, 2020",48
"May 2, 2020",48
"May 7, 2020",44
"May 7, 2020",40
"May 12, 2020",36
"May 12, 2020",36
"May 17, 2020",36
"May 17, 2020",36
"May 22, 2020",16
"May 22, 2020",16
"May 27, 2020",20
"May 27, 2020",20
"Jun 1, 2020",20
"Jun 1, 2020",20
"Jun 6, 2020",0
"Jun 6, 2020",0
"Jun 11, 2020",0
"Jun 11, 2020",0
"Jun 16, 2020",0
"Jun 16, 2020",0
"Jun 21, 2020",0
"Jun 21, 2020",0
"Jun 26, 2020",0
"Jul 1, 2020",0
"Jul 1, 2020",0
"Jul 6, 2020",0
"Jul 6, 2020",0
"Jul 11, 2020",0
"Jul 11, 2020",0
"Jul 16, 2020",0
"Jul 16, 2020",0
"Jul 21, 2020",0
"Jul 21, 2020",0
"Jul 26, 2020",0
"Jul 26, 2020",0
"Jul 31, 2020",0
"Jul 31, 2020",0
"Aug 5, 2020",0
"Aug 5, 2020",0
"Aug 10, 2020",0
"Aug 10, 2020",0
"Aug 15, 2020",0
"Aug 15, 2020",0
"Aug 20, 2020",0
"Aug 20, 2020",0
"Aug 25, 2020",0
"Aug 25, 2020",0
"Aug 30, 2020",9.612
"Sep 4, 2020",0
"Sep 4, 2020",0
"Sep 9, 2020",0
"Sep 9, 2020",0
