system:time_start,pdsi
"Jan 5, 2015",1.5
"Jan 10, 2015",1.5
"Jan 15, 2015",1.4
"Jan 20, 2015",1.3
"Jan 25, 2015",1.2
"Jan 30, 2015",1.3
"Feb 4, 2015",1.5
"Feb 9, 2015",1.6
"Feb 14, 2015",1.7
"Feb 19, 2015",1.8
"Feb 24, 2015",1.9
"Mar 1, 2015",1.9
"Mar 6, 2015",1.8
"Mar 11, 2015",1.7
"Mar 16, 2015",1.6
"Mar 21, 2015",1.6
"Mar 26, 2015",1.6
"Mar 31, 2015",1.6
"Apr 5, 2015",1.5
"Apr 10, 2015",1.4
"Apr 15, 2015",1.4
"Apr 20, 2015",1.3
"Apr 25, 2015",1.2
"Apr 30, 2015",1.2
"May 5, 2015",1.1
"May 10, 2015",1.1
"May 15, 2015",1.3
"May 20, 2015",1.5
"May 25, 2015",1.7
"May 30, 2015",2
"Jun 4, 2015",2.3
"Jun 9, 2015",2.5
"Jun 14, 2015",2.5
"Jun 19, 2015",2.4
"Jun 24, 2015",2.4
"Jun 29, 2015",2.4
"Jul 4, 2015",2.5
"Jul 9, 2015",2.5
"Jul 14, 2015",2.5
"Jul 19, 2015",2.6
"Jul 24, 2015",2.6
"Jul 29, 2015",2.6
"Aug 3, 2015",2.6
"Aug 8, 2015",2.6
"Aug 13, 2015",2.5
"Aug 18, 2015",2.4
"Aug 23, 2015",2.2
"Aug 28, 2015",2.1
"Sep 2, 2015",2
"Sep 7, 2015",1.9
"Sep 12, 2015",1.8
"Sep 17, 2015",1.8
"Sep 22, 2015",1.9
"Sep 27, 2015",1.9
"Oct 2, 2015",2
"Oct 7, 2015",2.1
"Oct 12, 2015",2.1
"Oct 17, 2015",2.1
"Oct 22, 2015",2.1
"Oct 27, 2015",2.1
"Nov 1, 2015",2.1
"Nov 6, 2015",2.1
"Nov 11, 2015",2.1
"Nov 16, 2015",2.1
"Nov 21, 2015",2
"Nov 26, 2015",1.9
"Dec 1, 2015",1.8
"Dec 6, 2015",1.7
"Dec 11, 2015",1.6
"Dec 16, 2015",1.5
"Dec 21, 2015",1.4
"Dec 26, 2015",1.2
"Dec 31, 2015",1.1
"Jan 5, 2016",1.1
"Jan 10, 2016",1.2
"Jan 15, 2016",1.2
"Jan 20, 2016",1.3
"Jan 25, 2016",1.4
"Jan 30, 2016",1.5
"Feb 4, 2016",1.5
"Feb 9, 2016",1.3
"Feb 14, 2016",1.2
"Feb 19, 2016",1
"Feb 24, 2016",0.9
"Feb 29, 2016",0.7
"Mar 5, 2016",0.5
"Mar 10, 2016",-0.1
"Mar 15, 2016",-1.1
"Mar 20, 2016",-1.2
"Mar 25, 2016",-1.3
"Mar 30, 2016",-1.4
"Apr 4, 2016",-1.4
"Apr 9, 2016",-1.5
"Apr 14, 2016",-1.5
"Apr 19, 2016",-1.4
"Apr 24, 2016",-1.4
"Apr 29, 2016",-1.4
"May 4, 2016",-1.3
"May 9, 2016",-1.2
"May 14, 2016",-1.1
"May 19, 2016",-1.1
"May 24, 2016",-1
"May 29, 2016",-1
