system:time_start,nd
"Jul 28, 2015",5.161
"Jul 28, 2015",5.158
"Jul 28, 2015",5.851
"Jul 28, 2015",5.847
"Jul 28, 2015",5.161
"Jul 28, 2015",5.158
"Aug 7, 2015",4.627
"Aug 7, 2015",4.627
"Aug 7, 2015",4.571
"Aug 7, 2015",4.574
"Aug 7, 2015",4.627
"Aug 7, 2015",4.627
"Sep 16, 2015",5.496
"Sep 16, 2015",5.496
"Sep 16, 2015",5.496
"Sep 16, 2015",5.494
"Sep 16, 2015",5.496
"Sep 16, 2015",5.496
"Oct 6, 2015",0
"Oct 6, 2015",0
"Nov 15, 2015",1.437
"Nov 15, 2015",1.437
"Dec 15, 2015",13.362
"Dec 15, 2015",13.362
"Dec 15, 2015",13.362
"Dec 15, 2015",13.362
"Dec 25, 2015",15.49
"Dec 25, 2015",15.487
"Dec 25, 2015",15.49
"Dec 25, 2015",15.487
"Jan 14, 2016",17.696
"Jan 14, 2016",17.703
"Jan 14, 2016",17.703
"Jan 14, 2016",17.696
"Feb 3, 2016",19.763
"Feb 3, 2016",19.698
"Feb 3, 2016",19.763
"Feb 3, 2016",19.698
"Mar 4, 2016",8.964
"Mar 4, 2016",8.964
"Apr 3, 2016",12.256
"Apr 3, 2016",12.254
"Apr 3, 2016",12.256
"Apr 3, 2016",12.254
"Apr 13, 2016",11.647
"Apr 13, 2016",11.638
"Apr 13, 2016",11.647
"Apr 13, 2016",11.638
"Apr 23, 2016",9.329
"Apr 23, 2016",9.327
"Apr 23, 2016",9.329
"Apr 23, 2016",9.327
"May 3, 2016",5.087
"May 3, 2016",5.085
"May 3, 2016",5.087
"May 3, 2016",5.085
"May 13, 2016",8.211
"May 13, 2016",8.211
"May 23, 2016",4.122
"May 23, 2016",4.124
"May 23, 2016",4.122
"May 23, 2016",4.124
"Jun 2, 2016",3.516
"Jun 2, 2016",3.521
"Jun 2, 2016",3.516
"Jun 2, 2016",3.521
"Jun 12, 2016",3.064
"Jun 12, 2016",3.065
"Jun 12, 2016",3.064
"Jun 12, 2016",3.065
"Jun 22, 2016",2.053
"Jun 22, 2016",2.053
"Jun 22, 2016",2.053
"Jun 22, 2016",2.053
"Jul 2, 2016",1.858
"Jul 2, 2016",1.856
"Jul 2, 2016",1.858
"Jul 2, 2016",1.856
"Jul 12, 2016",1.071
"Jul 12, 2016",1.071
"Jul 12, 2016",1.071
"Jul 22, 2016",0.898
"Jul 22, 2016",0.898
"Aug 1, 2016",1.35
"Aug 11, 2016",2.613
"Aug 11, 2016",2.586
"Aug 21, 2016",2.388
"Aug 21, 2016",2.385
"Aug 21, 2016",2.388
"Aug 21, 2016",2.385
"Aug 31, 2016",3.456
"Aug 31, 2016",3.452
"Aug 31, 2016",3.456
"Aug 31, 2016",3.452
"Sep 10, 2016",5.139
"Sep 10, 2016",5.139
"Sep 10, 2016",5.139
"Sep 10, 2016",5.139
"Sep 30, 2016",10.956
"Sep 30, 2016",10.956
"Sep 30, 2016",10.956
"Sep 30, 2016",10.956
"Oct 10, 2016",10.95
"Oct 10, 2016",10.935
"Oct 10, 2016",10.95
"Oct 10, 2016",10.935
"Oct 20, 2016",11.145
"Oct 20, 2016",11.137
"Oct 20, 2016",11.137
"Oct 20, 2016",11.145
"Nov 9, 2016",10.724
"Nov 9, 2016",0
"Nov 9, 2016",10.724
"Nov 9, 2016",10.721
"Nov 19, 2016",4.585
"Nov 19, 2016",4.585
"Nov 29, 2016",14.243
"Nov 29, 2016",14.241
"Nov 29, 2016",14.243
"Nov 29, 2016",14.241
"Dec 19, 2016",18.499
"Dec 19, 2016",18.496
"Dec 29, 2016",0
"Jan 18, 2017",22.856
"Jan 18, 2017",22.855
"Jan 28, 2017",24.077
